,NAME (SYMBOL),OFFICIAL WEBSITE
0,Bitcoin (BTC),https://www.bitcoin.org/
1,Ethereum (ETH),https://www.ethereum.org/
2,Tether (USDT),https://tether.to/
3,BNB (BNB),https://www.binance.com/
4,USD Coin (USDC),https://www.circle.com/en/usdc
5,XRP (XRP),https://ripple.com/currency/
6,Cardano (ADA),https://www.cardano.org/en/home/
7,Solana (SOL),https://solana.com/
8,Binance USD (BUSD),https://www.paxos.com/busd/
9,Polkadot (DOT),https://polkadot.network/
10,Dogecoin (DOGE),http://dogecoin.com/
11,Avalanche (AVAX),https://www.avax.network/
12,Wrapped Bitcoin (WBTC),https://www.wbtc.network/
13,Lido Staked Ether (STETH),https://www.lido.fi/
14,Shiba Inu (SHIB),https://shibatoken.com/
15,TRON (TRX),https://tron.network/
16,Dai (DAI),https://makerdao.com/
17,NEAR Protocol (NEAR),https://nearprotocol.com/
18,Litecoin (LTC),https://litecoin.org/
19,Cronos (CRO),https://www.crypto.com/en/chain
20,Polygon (MATIC),https://polygon.technology/
21,LEO Token (LEO),https://www.bitfinex.com/
22,FTX Token (FTT),https://ftx.com/
23,Bitcoin Cash (BCH),https://bch.info/
24,Chainlink (LINK),https://chain.link/
25,Stellar (XLM),https://www.stellar.org/
26,OKB (OKB),https://www.okex.com/okb
27,Algorand (ALGO),https://algorand.foundation/
28,Cosmos Hub (ATOM),http://cosmos.network/
29,Flow (FLOW),https://flow.com/
30,Ethereum Classic (ETC),http://ethereumclassic.org/
31,Monero (XMR),https://getmonero.org/
32,ApeCoin (APE),https://apecoin.com/
33,Uniswap (UNI),https://uniswap.org/
34,VeChain (VET),https://www.vechain.org/
35,Hedera (HBAR),https://www.hedera.com/
36,Elrond (EGLD),https://elrond.com/
37,Theta Fuel (TFUEL),https://www.thetatoken.org/
38,Internet Computer (ICP),https://dfinity.org/
39,The Sandbox (SAND),https://www.sandbox.game/en/
40,Magic Internet Money (MIM),https://abracadabra.money/
41,Filecoin (FIL),https://filecoin.io/
42,Axie Infinity (AXS),https://axieinfinity.com/
43,Decentraland (MANA),https://decentraland.org/
44,cETH (CETH),https://compound.finance/
45,Frax (FRAX),https://frax.finance/
46,Tezos (XTZ),https://www.tezos.com/
47,DeFiChain (DFI),https://defichain.com/
48,Theta Network (THETA),https://www.thetatoken.org/
49,Chain (XCN),https://chain.com/
50,EOS (EOS),https://eos.io/
51,Maker (MKR),https://makerdao.com/
52,PancakeSwap (CAKE),https://pancakeswap.finance/
53,cUSDC (CUSDC),https://compound.finance/
54,KuCoin Token (KCS),https://www.kucoin.com/ucenter/signup?rcode=e21sNJ
55,Aave (AAVE),https://app.aave.com/?referral=93
56,Zcash (ZEC),https://z.cash/
57,Huobi BTC (HBTC),https://www.hbtc.finance/zh-cn/
58,Klaytn (KLAY),https://www.klaytn.foundation/
59,TrueUSD (TUSD),https://trueusd.com/
60,The Graph (GRT),https://thegraph.com/
61,TerraUSD (UST),https://terra.money/
62,Helium (HNT),https://www.helium.com/
63,THORChain (RUNE),https://thorchain.org/
64,Huobi Token (HT),https://www.hbg.com/
65,BitTorrent (BTT),https://www.bittorrent.com/btt/
66,Bitcoin SV (BSV),https://bitcoinsv.com/
67,Quant (QNT),https://www.quant.network/
68,Fantom (FTM),http://fantom.foundation/
69,Pax Dollar (USDP),https://www.paxos.com/standard/
70,STEPN (GMT),https://www.stepn.com/
71,IOTA (MIOTA),http://iota.org/
72,Radix (XRD),https://www.radixdlt.com/
73,Neutrino USD (USDN),https://neutrino.at/
74,GateToken (GT),https://gatechain.io/
75,eCash (XEC),https://e.cash/
76,cDAI (CDAI),https://compound.finance/
77,Convex Finance (CVX),https://www.convexfinance.com/
78,BitDAO (BIT),https://www.bitdao.io/
79,NEO (NEO),https://neo.org/
80,NEXO (NEXO),https://nexo.io/
81,Zilliqa (ZIL),https://www.zilliqa.com/
82,Arweave (AR),https://arweave.org/
83,Waves (WAVES),https://waves.tech/
84,Gala (GALA),https://gala.games/
85,Celo (CELO),https://celo.org/
86,Enjin Coin (ENJ),https://enjin.io/
87,Kusama (KSM),https://kusama.network/
88,cUSDT (CUSDT),https://compound.finance/
89,Frax Share (FXS),https://frax.finance/
90,Amp (AMP),https://amptoken.org/
91,Dash (DASH),https://www.dash.org/
92,Synthetix Network Token (SNX),https://www.synthetix.io/
93,Harmony (ONE),https://harmony.one/
94,Basic Attention Token (BAT),https://basicattentiontoken.org/
95,Chiliz (CHZ),https://www.chiliz.com/
96,Loopring (LRC),https://loopring.org/
97,Stacks (STX),http://stacks.co/
98,PAX Gold (PAXG),https://www.paxos.com/paxgold/
99,Gnosis (GNO),https://gnosis.io/
