,RANK,NAME,SYMBOL,PRICE,MARKET_CAP
0,"
1
","
Bitcoin
","
BTC
","
$30,329.30
","
$577,430,285,167
"
1,"
2
","
Ethereum
","
ETH
","
$2,074.34
","
$250,497,359,807
"
2,"
3
","
Tether
","
USDT
","
$1.00
","
$79,654,952,757
"
3,"
4
","
BNB
","
BNB
","
$298.77
","
$50,234,935,602
"
4,"
5
","
USD Coin
","
USDC
","
$1.00
","
$49,995,452,748
"
5,"
6
","
XRP
","
XRP
","
$0.443329
","
$21,431,889,944
"
6,"
7
","
Cardano
","
ADA
","
$0.575162
","
$19,452,118,191
"
7,"
8
","
Binance USD
","
BUSD
","
$1.00
","
$17,208,550,010
"
8,"
9
","
Solana
","
SOL
","
$51.33
","
$17,179,043,457
"
9,"
10
","
Polkadot
","
DOT
","
$10.85
","
$12,022,796,756
"
10,"
11
","
Dogecoin
","
DOGE
","
$0.089323724714
","
$11,850,646,828
"
11,"
12
","
Avalanche
","
AVAX
","
$34.35
","
$9,237,830,290
"
12,"
13
","
Wrapped Bitcoin
","
WBTC
","
$30,374.64
","
$8,625,899,823
"
13,"
14
","
Lido Staked Ether
","
STETH
","
$2,030.85
","
$8,473,234,866
"
14,"
15
","
Shiba Inu
","
SHIB
","
$0.000013261528
","
$7,228,517,105
"
15,"
16
","
TRON
","
TRX
","
$0.072146941106
","
$7,079,862,810
"
16,"
17
","
Dai
","
DAI
","
$1.00
","
$6,075,772,723
"
17,"
18
","
NEAR Protocol
","
NEAR
","
$7.25
","
$4,898,861,515
"
18,"
19
","
Cronos
","
CRO
","
$0.193516
","
$4,891,207,273
"
19,"
20
","
Litecoin
","
LTC
","
$69.30
","
$4,870,391,139
"
20,"
21
","
LEO Token
","
LEO
","
$5.09
","
$4,759,818,083
"
21,"
22
","
Polygon
","
MATIC
","
$0.701282
","
$4,759,372,017
"
22,"
23
","
FTX Token
","
FTT
","
$31.57
","
$4,293,570,306
"
23,"
24
","
Bitcoin Cash
","
BCH
","
$209.63
","
$3,995,976,182
"
24,"
25
","
Chainlink
","
LINK
","
$7.25
","
$3,385,540,907
"
25,"
26
","
Stellar
","
XLM
","
$0.135749
","
$3,366,649,753
"
26,"
27
","
OKB
","
OKB
","
$12.48
","
$3,239,503,942
"
27,"
28
","
Algorand
","
ALGO
","
$0.475656
","
$3,202,089,156
"
28,"
29
","
Cosmos Hub
","
ATOM
","
$10.89
","
$3,186,923,558
"
29,"
30
","
Flow
","
FLOW
","
$3.05
","
$3,153,623,835
"
30,"
31
","
Ethereum Classic
","
ETC
","
$20.89
","
$2,814,111,421
"
31,"
32
","
Monero
","
XMR
","
$147.83
","
$2,676,770,379
"
32,"
33
","
ApeCoin
","
APE
","
$9.00
","
$2,536,369,458
"
33,"
34
","
Uniswap
","
UNI
","
$5.18
","
$2,354,404,369
"
34,"
35
","
VeChain
","
VET
","
$0.032795762835
","
$2,189,469,438
"
35,"
36
","
Hedera
","
HBAR
","
$0.102608
","
$2,092,158,268
"
36,"
37
","
Elrond
","
EGLD
","
$89.51
","
$1,997,310,015
"
37,"
38
","
Theta Fuel
","
TFUEL
","
$0.076558167213
","
$1,886,178,774
"
38,"
39
","
Internet Computer
","
ICP
","
$7.99
","
$1,839,247,763
"
39,"
40
","
Magic Internet Money
","
MIM
","
$0.997724
","
$1,822,116,755
"
40,"
41
","
The Sandbox
","
SAND
","
$1.48
","
$1,793,952,536
"
41,"
42
","
Filecoin
","
FIL
","
$8.80
","
$1,793,680,237
"
42,"
43
","
Axie Infinity
","
AXS
","
$22.32
","
$1,728,387,180
"
43,"
45
","
Decentraland
","
MANA
","
$1.13
","
$1,706,058,574
"
44,"
44
","
cETH
","
CETH
","
$41.62
","
$1,697,126,530
"
45,"
46
","
Frax
","
FRAX
","
$1.00
","
$1,657,801,815
"
46,"
47
","
Tezos
","
XTZ
","
$1.84
","
$1,635,892,029
"
47,"
48
","
DeFiChain
","
DFI
","
$3.13
","
$1,610,683,225
"
48,"
49
","
Theta Network
","
THETA
","
$1.46
","
$1,464,955,639
"
49,"
50
","
Chain
","
XCN
","
$0.083505849486
","
$1,417,159,479
"
50,"
51
","
EOS
","
EOS
","
$1.40
","
$1,395,213,516
"
51,"
52
","
Maker
","
MKR
","
$1,470.54
","
$1,325,417,586
"
52,"
53
","
PancakeSwap
","
CAKE
","
$4.42
","
$1,308,063,477
"
53,"
54
","
cUSDC
","
CUSDC
","
$0.022641150269
","
$1,302,967,380
"
54,"
55
","
KuCoin Token
","
KCS
","
$12.68
","
$1,244,046,275
"
55,"
56
","
TerraUSD
","
UST
","
$0.097882186087
","
$1,199,204,161
"
56,"
57
","
Aave
","
AAVE
","
$87.46
","
$1,192,630,708
"
